eenheid,label,csor_symbool,matchType,qudt_uri,qudt_symbool,http_status,edit_distance_raw,edit_distance_genormaliseerd,categorie,redirect_statuses,final_url,permanent_redirect,payload_subject_matches
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_28,microgram per kilogram,µg/kg,exactMatch,http://qudt.org/vocab/unit/MicroGM-PER-KiloGM,μg/kg,200,1,0,notatie_only,302,https://qudt.org/vocab/unit/MicroGM-PER-KiloGM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_43,procent,%,exactMatch,http://qudt.org/vocab/unit/PERCENT,%,200,0,0,exact,302,https://qudt.org/vocab/unit/PERCENT,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_55,per liter,/L,exactMatch,http://qudt.org/vocab/unit/NUM-PER-L,#/L,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/NUM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_338,nanogram zwavel per liter,ngS/L,broadMatch,http://qudt.org/vocab/unit/NanoGM-PER-L,ng/L,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/NanoGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_133,microgram tin per kilogram droge stof,µgSn/kg ds,broadMatch,http://qudt.org/vocab/unit/MicroGM-PER-KiloGM,μg/kg,200,6,5,afwijkend,302,https://qudt.org/vocab/unit/MicroGM-PER-KiloGM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_139,milligram CaCO3 per liter,mgCaCO3/L,broadMatch,http://qudt.org/vocab/unit/MilliGM-PER-L,mg/L,200,5,5,afwijkend,302,https://qudt.org/vocab/unit/MilliGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_135,nanogram tin per liter,ngSn/L,broadMatch,http://qudt.org/vocab/unit/NanoGM-PER-L,ng/L,200,2,2,afwijkend,302,https://qudt.org/vocab/unit/NanoGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_242,microgram zuurstof per liter,µgO2/L,broadMatch,http://qudt.org/vocab/unit/MicroGM-PER-L,μg/L,200,3,2,afwijkend,302,https://qudt.org/vocab/unit/MicroGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_126,milligram ammonium per liter,mgNH4/L,broadMatch,http://qudt.org/vocab/unit/MilliGM-PER-L,mg/L,200,3,3,afwijkend,302,https://qudt.org/vocab/unit/MilliGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_239,microgram per filter,µg/filter,broadMatch,http://qudt.org/vocab/unit/MicroGM,μg,200,8,7,afwijkend,302,https://qudt.org/vocab/unit/MicroGM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_334,kilogram stikstof per liter,kgN/L,broadMatch,http://qudt.org/vocab/unit/KiloGM-PER-L,kg/L,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/KiloGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_11,kilogram per dag,kg/d,exactMatch,http://qudt.org/vocab/unit/KiloGM-PER-DAY,kg/d,200,0,0,exact,302,https://qudt.org/vocab/unit/KiloGM-PER-DAY,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_333,gram stikstof per liter,gN/L,broadMatch,http://qudt.org/vocab/unit/GM-PER-L,g/L,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/GM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_105,kilogram stifkstof  per dag,kgN/d,broadMatch,http://qudt.org/vocab/unit/KiloGM-PER-DAY,kg/d,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/KiloGM-PER-DAY,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_152,gram fosfor,gP,broadMatch,http://qudt.org/vocab/unit/GM,g,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/GM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_3,gram per liter,g/L,exactMatch,http://qudt.org/vocab/unit/GM-PER-L,g/L,200,0,0,exact,302,https://qudt.org/vocab/unit/GM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_136,microgram tin per liter,µgSn/L,broadMatch,http://qudt.org/vocab/unit/MicroGM-PER-L,μg/L,200,3,2,afwijkend,302,https://qudt.org/vocab/unit/MicroGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_60,millimeter,mm,exactMatch,http://qudt.org/vocab/unit/MilliM,mm,200,0,0,exact,302,https://qudt.org/vocab/unit/MilliM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_123,milligram koolstof per kilogram droge stof,mgC/kg ds,broadMatch,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,mg/kg,200,4,4,afwijkend,302,https://qudt.org/vocab/unit/MilliGM-PER-KiloGM,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_66,Nephelometrische turbiditeitseenheden,NTU,exactMatch,http://qudt.org/vocab/unit/NTU,NTU,200,0,0,exact,302,https://qudt.org/vocab/unit/NTU,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_96,milligram per kilogram droge stof,mg/kg ds,broadMatch,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,mg/kg,200,3,3,afwijkend,302,https://qudt.org/vocab/unit/MilliGM-PER-KiloGM,False,True
