subject,predicaat,klasse,tekst,flag_type,detail,suggestie
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4003,prefLabel,Parameter,Ijzer in vaste deel van de aarde,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2684,altLabel,Parameter,Ijzer,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1986,altLabel,Parameter,Ijzer MUC project totaal,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4003,altLabel,Parameter,Ijzer,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1240,prefLabel,Parameter,Ijzer totaal in water,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_434,altLabel,Parameter,Ijzer opgelost,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1859,verkorteNotatie,Parameter,Ijzer multi totaal,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4004,verkorteNotatie,Parameter,"Ijzer, tweewaardig opgelost",gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1259,altLabel,Parameter,Caffeïne,gekende_fout,'Caffeïne' komt voor als foutieve vorm in opentaal-corrections.tsv,cafeïne
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1241,prefLabel,Parameter,Ijzer totaal in vaste deel van de aarde,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1991,prefLabel,Parameter,Ijzer MUCd project totaal in water,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2686,prefLabel,Parameter,Ijzer in PM2.5,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4005,prefLabel,Parameter,"Ijzer, tweewaardig opgelost in water",gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4006,verkorteNotatie,Parameter,"Ijzer, driewaardig opgelost",gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1859,altLabel,Parameter,Ijzer multi totaal,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2683,prefLabel,Parameter,Ijzer in bulk depositie (precip),gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1992,verkorteNotatie,Parameter,Ijzer MUCd project opgelost,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2685,verkorteNotatie,Parameter,Ijzer,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_2215,prefLabel,ParameterAspect,Caffeïne (standaard in water): massaconcentratie,gekende_fout,'Caffeïne' komt voor als foutieve vorm in opentaal-corrections.tsv,cafeïne
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_433,verkorteNotatie,Parameter,Ijzer,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2682,verkorteNotatie,Parameter,Ijzer,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1926,prefLabel,Parameter,Ijzer multi opgelost in water,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_842,altLabel,Parameter,Trichloorfon,near_duplicate_labelwoord,'trichloorfon' lijkt op vaker voorkomend 'trichloorfenol',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_841,altLabel,Parameter,Trichloorfon,near_duplicate_labelwoord,'trichloorfon' lijkt op vaker voorkomend 'trichloorfenol',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4431,altLabel,Parameter,Polychloordibenzofuranen (PCDF),near_duplicate_labelwoord,'polychloordibenzofuranen' lijkt op vaker voorkomend 'octachloordibenzofuraan',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1688,altLabel,Parameter,Alkanen en Alkenen,near_duplicate_labelwoord,'alkenen' lijkt op vaker voorkomend 'alkanen',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2629,altLabel,Parameter,Dichloordifluormethaan (CFK12),near_duplicate_labelwoord,'dichloordifluormethaan' lijkt op vaker voorkomend 'dichloormethaan',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_796,altLabel,Parameter,Dichloordifluormethaan (CFK12),near_duplicate_labelwoord,'dichloordifluormethaan' lijkt op vaker voorkomend 'dichloormethaan',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2030,altLabel,Parameter,Danio rerio 96h na Zahn Wellens,near_duplicate_labelwoord,'danio' lijkt op vaker voorkomend 'dan',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1779,altLabel,Parameter,Danio rerio 96h,near_duplicate_labelwoord,'danio' lijkt op vaker voorkomend 'dan',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2093,altLabel,Parameter,Monomethyl Arseenzuur,near_duplicate_labelwoord,'monomethyl' lijkt op vaker voorkomend 'methyl',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1711,altLabel,Parameter,Som v totale Organofosfor en organohalogeenverbind,near_duplicate_labelwoord,'organohalogeenverbind' lijkt op vaker voorkomend 'organohalogenen',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3847,altLabel,Parameter,dichloorazijnzuur,near_duplicate_labelwoord,'dichloorazijnzuur' lijkt op vaker voorkomend 'trifluorazijnzuur',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4706,altLabel,Parameter,Triallaat,near_duplicate_labelwoord,'triallaat' lijkt op vaker voorkomend 'ftalaat',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_999,altLabel,Parameter,Triallaat,near_duplicate_labelwoord,'triallaat' lijkt op vaker voorkomend 'ftalaat',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1543,altLabel,Parameter,Octylfenolpolyethoxylaat,near_duplicate_labelwoord,'octylfenolpolyethoxylaat' lijkt op vaker voorkomend 'alkylfenolethoxylaat',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4841,altLabel,Parameter,n-Butylacrylaat,near_duplicate_labelwoord,'butylacrylaat' lijkt op vaker voorkomend 'butylftalaat',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_215,altLabel,Parameter,n-Butylacrylaat,near_duplicate_labelwoord,'butylacrylaat' lijkt op vaker voorkomend 'butylftalaat',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4673,altLabel,Parameter,Texanolbenzylftalaat,near_duplicate_labelwoord,'texanolbenzylftalaat' lijkt op vaker voorkomend 'butylbenzylftalaat',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1997,altLabel,Parameter,trans-Nonachloor,near_duplicate_labelwoord,'nonachloor' lijkt op vaker voorkomend 'chloor',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1998,altLabel,Parameter,cis-Nonachloor,near_duplicate_labelwoord,'nonachloor' lijkt op vaker voorkomend 'chloor',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2635,altLabel,Parameter,Dimethylamine,near_duplicate_labelwoord,'dimethylamine' lijkt op vaker voorkomend 'methylaniline',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_979,altLabel,Parameter,Dimethylamine,near_duplicate_labelwoord,'dimethylamine' lijkt op vaker voorkomend 'methylaniline',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4065,altLabel,Parameter,Hexadecaanzuur,near_duplicate_labelwoord,'hexadecaanzuur' lijkt op vaker voorkomend 'perfluorhexadecaanzuur',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4066,altLabel,Parameter,Hexadecaanzuur,near_duplicate_labelwoord,'hexadecaanzuur' lijkt op vaker voorkomend 'perfluorhexadecaanzuur',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4424,altLabel,Parameter,Polychloorbifenylen (som VROM),near_duplicate_labelwoord,'polychloorbifenylen' lijkt op vaker voorkomend 'polychloorbifenyl',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4423,altLabel,Parameter,Polychloorbifenylen (som VROM),near_duplicate_labelwoord,'polychloorbifenylen' lijkt op vaker voorkomend 'polychloorbifenyl',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_601,altLabel,Parameter,"Triazines, totaal",near_duplicate_labelwoord,'triazines' lijkt op vaker voorkomend 'atrazine',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_602,altLabel,Parameter,"Triazines, totaal",near_duplicate_labelwoord,'triazines' lijkt op vaker voorkomend 'atrazine',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_311,altLabel,Parameter,"Chloorresten, vrij",near_duplicate_labelwoord,'chloorresten' lijkt op vaker voorkomend 'dichlooretheen',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1924,altLabel,Parameter,Erbium multi opgelost,near_duplicate_labelwoord,'erbium' lijkt op vaker voorkomend 'cerium',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1857,altLabel,Parameter,Erbium multi totaal,near_duplicate_labelwoord,'erbium' lijkt op vaker voorkomend 'cerium',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_727,altLabel,Parameter,"1-Chloor-2,4-dinitrobenzeen",near_duplicate_labelwoord,'dinitrobenzeen' lijkt op vaker voorkomend 'nitrobenzeen',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1687,altLabel,Parameter,"Som (matig-)vluchtige halog.verb., PCB en OCl-pest",near_duplicate_labelwoord,'verb' lijkt op vaker voorkomend 'ver',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2315,altLabel,Parameter,perfluorbutaansulfonamidoazijnzuur (FBSAA),near_duplicate_labelwoord,'perfluorbutaansulfonamidoazijnzuur' lijkt op vaker voorkomend 'perfluoroctaansulfonamidoazijnzuur',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2315,altLabel,Parameter,perfluorbutaansulfonamidoazijnzuur (FBSAA),near_duplicate_labelwoord,'fbsaa' lijkt op vaker voorkomend 'pfbsa',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3375,altLabel,Parameter,2-Chloor-5-methyaniline,near_duplicate_labelwoord,'methyaniline' lijkt op vaker voorkomend 'methylaniline',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3376,altLabel,Parameter,2-Chloor-6-methyaniline,near_duplicate_labelwoord,'methyaniline' lijkt op vaker voorkomend 'methylaniline',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1370,altLabel,Parameter,Chloordecon,near_duplicate_labelwoord,'chloordecon' lijkt op vaker voorkomend 'chloordaan',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2593,altLabel,Parameter,Chloordecon,near_duplicate_labelwoord,'chloordecon' lijkt op vaker voorkomend 'chloordaan',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1277,altLabel,Parameter,"Dichlooranilines, totaal",near_duplicate_labelwoord,'dichlooranilines' lijkt op vaker voorkomend 'dichlooraniline',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4846,altLabel,Parameter,n-Pentanol,near_duplicate_labelwoord,'pentanol' lijkt op vaker voorkomend 'ethanol',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4847,altLabel,Parameter,n-Pentanol,near_duplicate_labelwoord,'pentanol' lijkt op vaker voorkomend 'ethanol',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1172,altLabel,Parameter,"1,1,2-Trichloortrifluorethaan",near_duplicate_labelwoord,'trichloortrifluorethaan' lijkt op vaker voorkomend 'trichloorethaan',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3226,altLabel,Parameter,"1,1,2-Trichloortrifluorethaan",near_duplicate_labelwoord,'trichloortrifluorethaan' lijkt op vaker voorkomend 'trichloorethaan',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1900,altLabel,Parameter,Thulium multi totaal,near_duplicate_labelwoord,'thulium' lijkt op vaker voorkomend 'thallium',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1967,altLabel,Parameter,Thulium multi opgelost,near_duplicate_labelwoord,'thulium' lijkt op vaker voorkomend 'thallium',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1431,altLabel,Parameter,Dichlobenil,near_duplicate_labelwoord,'dichlobenil' lijkt op vaker voorkomend 'dichloorfenol',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3846,altLabel,Parameter,Dichlobenil,near_duplicate_labelwoord,'dichlobenil' lijkt op vaker voorkomend 'dichloorfenol',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4067,altLabel,Parameter,Hexachloordibenzodioxine (totaal),near_duplicate_labelwoord,'hexachloordibenzodioxine' lijkt op vaker voorkomend 'hexachloordibenzo',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4063,altLabel,Parameter,Heptachloordibenzodioxine (totaal),near_duplicate_labelwoord,'heptachloordibenzodioxine' lijkt op vaker voorkomend 'heptachloordibenzo',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3711,altLabel,Parameter,Chlooranilinen,near_duplicate_labelwoord,'chlooranilinen' lijkt op vaker voorkomend 'chlooraniline',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3710,altLabel,Parameter,Chlooranilinen,near_duplicate_labelwoord,'chlooranilinen' lijkt op vaker voorkomend 'chlooraniline',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1686,altLabel,Parameter,"Chlooranilines, individueel",near_duplicate_labelwoord,'chlooranilines' lijkt op vaker voorkomend 'chlooraniline',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3,altLabel,Parameter,Chlooranilines,near_duplicate_labelwoord,'chlooranilines' lijkt op vaker voorkomend 'chlooraniline',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2007,altLabel,Parameter,C14-17 chlooralkanen,near_duplicate_labelwoord,'chlooralkanen' lijkt op vaker voorkomend 'chloordaan',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1894,altLabel,Parameter,Tantaal multi totaal,near_duplicate_labelwoord,'tantaal' lijkt op vaker voorkomend 'totaal',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1961,altLabel,Parameter,Tantaal multi opgelost,near_duplicate_labelwoord,'tantaal' lijkt op vaker voorkomend 'totaal',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_908,altLabel,Parameter,"2,2'-Dichloorbenzidine",near_duplicate_labelwoord,'dichloorbenzidine' lijkt op vaker voorkomend 'dichloorbenzeen',
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_961,altLabel,Parameter,"3,3'-Dichloorbenzidine",near_duplicate_labelwoord,'dichloorbenzidine' lijkt op vaker voorkomend 'dichloorbenzeen',
